LG,position_window,n_mean,cm_male_mean,cm_female_mean,cm_sex_averaged_mean,cm_span_male_mean,cm_span_female_mean,cm_mb_male_mean,cm_mb_female_mean,cm_mb_sex_averaged_mean,crossovers_male_mean,crossovers_female_mean,crossovers_sex_averaged_mean,bp_position_mean,windowed_correlation_mean,male_distortion_mean,female_distortion_mean,Mendelian_distortion_mean,n_sum,cm_male_sum,cm_female_sum,cm_sex_averaged_sum,cm_span_male_sum,cm_span_female_sum,cm_mb_male_sum,cm_mb_female_sum,cm_mb_sex_averaged_sum,crossovers_male_sum,crossovers_female_sum,crossovers_sex_averaged_sum,bp_position_sum,windowed_correlation_sum,male_distortion_sum,female_distortion_sum,Mendelian_distortion_sum,window_end
LG1,32,31,49.462,38.172,43.817,0,0,0,0,0,0,0,0,32718363.8387097,NA,NA,NA,NA,961,1335.474,1030.644,1183.059,0,0,0,0,0,0,0,0,1014269279,0,0,0,0,33000000
LG1,33,75,49.462,38.172,43.817,0,0,0,0,0,0,0,0,33356339.7733333,NA,NA,NA,NA,5625,3313.954,2557.524,2935.739,0,0,0,0,0,0,0,0,2501725483,0,0,0,0,34000000
LG1,35,63,49.462,38.172,43.817,0,0,0,0,0,0,0,0,35570683.6984127,NA,NA,NA,NA,3969,2868.796,2213.976,2541.386,0,0,0,0,0,0,0,0,2240953073,0,0,0,0,36000000
LG1,36,9,49.462,38.172,43.817,0,0,0,0,0,0,0,0,36750179.5555556,NA,NA,NA,NA,81,296.772,229.032,262.902,0,0,0,0,0,0,0,0,330751616,0,0,0,0,37000000
LG1,37,68,49.462,38.172,43.817,0,0,0,0,0,0,0,0,37412245.9264706,NA,NA,NA,NA,4624,3066.644,2366.664,2716.654,0,0,0,0,0,0,0,0,2544032723,0,0,0,0,38000000
LG1,38,66,49.462,39.1914655172414,44.3267327586207,0,1.075,0,0.000001075,0.000000537500000000001,0,0.0517241379310345,0.0258620689655172,38593953.1060606,NA,3.64634,1.75913666666667,2.50756666666667,4356,2868.796,2273.105,2570.9505,0,70.9499999999997,0,0.0000709499999999997,0.0000354750000000001,0,3,1.5,2547200905,0,10.93902,5.27741,7.5227,39000000
LG1,39,18,49.462,39.785,44.6235,0,0,0,0,0,0,0,0,39677670.9444444,NA,NA,NA,NA,324,494.62,397.85,446.235,0,0,0,0,0,0,0,0,714198077,0,0,0,0,40000000
LG1,40,52,49.462,39.8746666666667,44.6683333333333,0,0.538000000000004,0,0.000000538000000000004,0.000000268999999999998,0,0.0238095238095238,0.0119047619047619,40215786.3653846,NA,3.64634,2.60825,1.79229,2704,2077.404,1674.736,1876.07,0,27.9760000000002,0,0.0000279760000000002,0.0000139879999999999,0,1,0.5,2091220891,0,3.64634,2.60825,1.79229,41000000
LG1,41,77,49.462,40.323,44.8925,0,0,0,0,0,0,0,0,41660771.5974026,NA,NA,NA,NA,5929,2670.948,2177.442,2424.195,0,0,0,0,0,0,0,0,3207879413,0,0,0,0,42000000
LG1,42,79,49.47040625,40.616828125,45.0436171875,0.537999999999997,1.612,0.000000537999999999997,0.000001612,0.000001075,0.015625,0.046875,0.03125,42586091.4810127,0.309408703999197,3.5111125,1.663865,1.12671125,6241,3166.106,2599.477,2882.7915,42.5019999999997,127.348,0.0000425019999999997,0.000127348,0.0000849250000000002,1,3,2,3364301227,24.4432876159366,14.04445,6.65546,4.506845,43000000
